zinc_id	smiles	framework	ring	sidechain
ZINC000014618536	COc1cc(O)c2c(=O)cc(-c3ccc(O)c(O)c3)oc2c1[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O	c1ccc(cc1)C2=CCc3cccc(c3O2)[C@@H]4CCCCO4	c1ccccc1.c1ccc2c(c1)CC=CO2.C1CCCCO1	CO.CO.O.O.O.O.O.O.O
ZINC000100257377	CC1=C[C@H]2O[C@H]3[C@@H](O)[C@@H](O)[C@@](C)([C@@]34CO4)[C@@]2(CO)C[C@@H]1O	C1C[C@@H]2[C@H]3CC[C@@H]([C@]34CO4)O[C@@H]2C=C1	C1C[C@@H]2[C@H]3CC[C@@H]([C@]34CO4)O[C@@H]2C=C1	C.C.CO.O.O.O
ZINC000085557004	CCCC/C=C\CCCCCCCC(=O)OC[C@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)O/C=C\CCCCCCCCCCCCCC	None	None	None
ZINC000100783622	CC(C)C1=C(O)C(=O)C2=C(C1=O)[C@H]1C[C@@H]3C(C)(C)CCC[C@@]23C(=O)O1	C1CC[C@]23CO[C@H](C[C@@H]2C1)C4=C3CC=CC4	C1CC[C@]23CO[C@H](C[C@@H]2C1)C4=C3CC=CC4	C.C.CCC.O.O.O.O
ZINC000150372044	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC	None	None	None
ZINC000261499162	CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@H]2[C@H](C)CCCC(C)C)C1	C1CCC2=CC[C@H]3[C@@H]4CCC[C@H]4CC[C@@H]3[C@H]2C1	C1CCC2=CC[C@H]3[C@@H]4CCC[C@H]4CC[C@@H]3[C@H]2C1	C.C.CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O.CCCCCC(C)C
ZINC000257437520	CN1CC[C@]2([C@]34CCN(C)[C@@H]3Nc3ccccc34)c3ccccc3N[C@@H]12	c1ccc2c(c1)[C@]3(CCN[C@@H]3N2)[C@]45CCN[C@@H]4Nc6c5cccc6	c1ccc2c(c1)[C@@H]3CCN[C@@H]3N2.c1ccc2c(c1)[C@@H]3CCN[C@@H]3N2	C.C
ZINC000824541251	COc1cc(C)nc2ccc(N/C(C)=C3\C(=O)C=C4Oc5c(C(C)=O)c(O)c(C)c(O)c5[C@@]4(C)C3=O)cc12	c1ccc2c(c1)[C@H]3C/C(=C/Nc4ccc5c(c4)cccn5)/CC=C3O2	c1ccc2c(c1)cccn2.c1ccc2c(c1)[C@H]3CCCC=C3O2	C.C.C.C.CC=O.CO.O.O.O.O
ZINC000150363852	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCC	None	None	None
ZINC000100780639	C[C@]1(C(=O)O)CCC[C@]2(C)[C@@H]3CC[C@@H]4C[C@]3(C=C4CO)CC[C@@H]12	C1CC[C@H]2[C@H](C1)CC[C@]34[C@H]2CC[C@H](C3)C=C4	C1CC[C@H]2[C@H](C1)CC[C@]34[C@H]2CC[C@H](C3)C=C4	C.C.CO.C(=O)O
ZINC000001280231	COc1c2c(cc3c1[C@@H](C#C[C@]1(C)CCCC(C)(C)O1)[N+](C)(C)CC3)OCO2	c1c2c(cc3c1OCO3)[C@H]([NH2+]CC2)C#C[C@@H]4CCCCO4	c1c2c(cc3c1OCO3)C[NH2+]CC2.C1CCOCC1	C.C.C.C.C.CO
ZINC000257398186	COc1cc(/C=C/C(=O)O[C@H]2CC[C@@]3(C)C(=CC[C@H]4[C@H]3CC[C@]3(C)[C@H]([C@H](C)CCCC(C)C)CC[C@H]43)C2)ccc1O	c1ccc(cc1)/C=C/CO[C@H]2CC[C@@H]3[C@@H]4CC[C@@H]5CCC[C@@H]5[C@H]4CC=C3C2	c1ccccc1.C1CCC2=CC[C@@H]3[C@H]4CCC[C@H]4CC[C@H]3[C@H]2C1	C.C.CCCCCC(C)C.CO.O.O
ZINC000257403440	C[C@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O[C@@H]4O[C@H](C)[C@H](O)[C@@H](O)[C@@H]4O)c(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@@H]1O	c1ccc(cc1)C2=C(Cc3ccc(cc3O2)O[C@H]4CCCCO4)O[C@@H]5[C@H](CCCO5)O[C@H]6CCCCO6	c1ccccc1.c1ccc2c(c1)CC=CO2.C1CCOCC1.C1CCOCC1.C1CCOCC1	C.C.CO.O.O.O.O.O.O.O.O.O.O.O
ZINC000253498644	C[C@@H]1O[C@@H](O[C@H]2[C@@H](O[C@@H]3C[C@@H](O)CC4=CC[C@H]5[C@@H]6C[C@@H]7O[C@]8(CC[C@@H](C)CO8)[C@@H](C)[C@@H]7[C@@]6(C)CC[C@@H]5[C@]43C)O[C@@H](CO)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O	C1CCO[C@H](C1)O[C@@H]2CCCO[C@@H]2O[C@@H]3CCCC4=CC[C@@H]5[C@@H]([C@@H]34)CC[C@H]6[C@H]5C[C@H]7[C@@H]6C[C@]8(O7)CCCCO8	C1CCOCC1.C1CCOCC1.C1CCC2=CC[C@@H]3[C@@H]([C@H]2C1)CC[C@H]4[C@H]3C[C@H]5[C@@H]4C[C@]6(O5)CCCCO6	C.C.C.C.C.CO.O.O.O.O.O.O
ZINC000032166964	CC(C)[C@@H]1N[C@H](C)S[C@@H](C)S1	C1NCSCS1	C1NCSCS1	C.C.CCC
ZINC000085914148	CCCCCCCCCCCCCCCC(=O)C[C@H](O)CCCCCCCCCCCCCCC	None	None	None
ZINC000095625970	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](O)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC	None	None	None
ZINC000085564337	CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)O/C=C\CCCCCCCCCCCCCC	None	None	None
ZINC000150359431	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	None	None	None
ZINC000261496090	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC	None	None	None
ZINC000004501350	C[C@H](S)[C@@H](C)S	None	None	None
ZINC000040164520	CC1=C(/C=C/C2=CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)[C@H](O)CCC1	C1CCC(=CC1)/C=C/C2=CCC[C@H]3[C@H]2CCC3	C1CCC=CC1.C1C[C@H]2CCC=C[C@@H]2C1	C.C.CCCCCC(C)(C)O.O
ZINC000085564810	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)CO[P@@](=O)(O)OCCN	None	None	None
ZINC000095622697	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCCCCCCCCCC	None	None	None
ZINC000002113778	COc1ccccc1[C@H]1c2[nH]c3ccccc3c2C[C@H]2C(=O)N(C3CCCCC3)CC(=O)N21	c1ccc(cc1)[C@H]2c3c(c4ccccc4[nH]3)C[C@@H]5N2CCN(C5)C6CCCCC6	c1ccccc1.c1ccc2c(c1)c3c([nH]2)CN4CCNC[C@@H]4C3.C1CCCCC1	CO.O.O
ZINC000118913856	C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@H](O[C@@H]6O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]6O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@@]12CC[C@@H](C)CO2	C1CCO[C@H](C1)O[C@@H]2CC[C@@H]3[C@H]4CC[C@H]5[C@H]([C@@H]4CC=C3C2)C[C@H]6[C@@H]5C[C@@]7(O6)CCCCO7	C1CCOCC1.C1CCC2=CC[C@@H]3[C@@H]([C@H]2C1)CC[C@H]4[C@H]3C[C@H]5[C@@H]4C[C@@]6(O5)CCCCO6	C.C.C.C.CO.O.O.O
ZINC000000035457	C[C@H](O)CN1CCCC[C@@H]1c1cccnc1	c1cc(cnc1)[C@H]2CCCCN2	c1ccncc1.C1CCCCN1	C[C@@H](O)C
ZINC000261496082	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC	None	None	None
ZINC000150364519	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC	None	None	None
ZINC000257670210	C[C@]1(O)[C@H]2[C@H](O[C@H]3O[C@@H](COC(=O)/C=C/c4ccc(O)c(O)c4)[C@H](O)[C@@H](O)[C@@H]3O)OC=C(C(=O)O)[C@@H]2C[C@H]1O	c1ccc(cc1)/C=C/COC[C@H]2CCC[C@H](O2)O[C@H]3[C@@H]4CCC[C@H]4C=CO3	c1ccccc1.C1CCOCC1.C1C[C@H]2COC=C[C@@H]2C1	C.C(=O)O.O.O.O.O.O.O.O.O
ZINC000085831544	CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCC	None	None	None
ZINC000150359700	CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	None	None	None
ZINC000230075702	COc1cc([C@@H]2Oc3ccc([C@H]4CC(=O)c5c(O)cc(O)cc5O4)cc3O[C@@H]2CO)ccc1O	c1ccc(cc1)[C@H]2COc3cc(ccc3O2)[C@H]4CCc5ccccc5O4	c1ccccc1.c1ccc2c(c1)CCCO2.c1ccc2c(c1)OCCO2	CO.CO.O.O.O.O
ZINC000016248854	C[C@@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	C1CC[C@H]2[C@@H](C1)CC[C@@H]3[C@@H]2CC[C@H]4[C@H]3CCC4	C1CC[C@H]2[C@@H](C1)CC[C@@H]3[C@@H]2CC[C@H]4[C@H]3CCC4	C.C.CCCCC(=O)O.O
ZINC000100782111	C=C1[C@@H]2C[C@@H](OC(C)=O)[C@]3(C)[C@H](c4ccoc4)OC(=O)[C@H](O)[C@@]13O[C@H]1C[C@H](OC(C)=O)C(C)(C)[C@H](CC(=O)OC)[C@@]12C	c1cocc1[C@H]2[C@H]3CC[C@H]4C[C@@]3(CCO2)O[C@@H]5[C@@H]4CCCC5	c1ccoc1.C1[C@H]2CC[C@H]3C[C@@]2(CCO1)O[C@@H]4[C@@H]3CCCC4	C.C.C.C.C.CC(=O)O.CC(=O)O.CC(=O)OC.O.O
ZINC000013416208	CC1(C)Oc2cc(O)c3c(c2C[C@@H]1O)OC[C@@H](c1ccc(O)cc1O)C3=O	c1ccc(cc1)[C@H]2Cc3ccc4c(c3OC2)CCCO4	c1ccccc1.c1cc2c(c3c1CCCO3)CCCO2	C.C.O.O.O.O.O
ZINC000095618206	CC1(C)CC(=O)[C@@H]2O[C@]2(C)C1=O	C1CC[C@H]2[C@@H](C1)O2	C1CC[C@H]2[C@@H](C1)O2	C.C.C.O.O
ZINC000257436285	COc1cc([C@@H]2c3cc(O)c(OC)cc3C[C@H](CO)[C@@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)ccc1O	c1ccc(cc1)[C@@H]2c3ccccc3CC[C@@H]2CO[C@H]4CCCO4	c1ccccc1.c1ccc2c(c1)CCCC2.C1CCOC1	CO.CO.CO.CO.O.O.O.O
ZINC000229844389	CC(C)(C[N+](C)(C)Cc1ccccc1)[C@@H]1O[C@@H]2CCCC[C@@H]2[C@@H]2C=CCC[C@H]21	c1ccc(cc1)C[NH2+]CC[C@H]2[C@@H]3CCC=C[C@H]3[C@H]4CCCC[C@H]4O2	c1ccccc1.C1CC[C@@H]2[C@H](C1)[C@@H]3C=CCC[C@H]3CO2	C.C.C.C
ZINC000261497675	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCC	None	None	None
ZINC000065249023	COc1ccc2c(c1)[C@@]1(CCN(S(=O)(=O)c3cc(F)ccc3C)C1)C(=O)N2	c1ccc(cc1)[SH4]N2CC[C@@]3(C2)CNc4c3cccc4	c1ccccc1.c1ccc2c(c1)[C@@]3(CCNC3)CN2	C.CO.O.O.O.F
ZINC000024449561	O=C(O)/C(O)=C/c1ccc(O)cc1	c1ccccc1	c1ccccc1	C=C(C(=O)O)O.O
ZINC000034400106	C=C1C(=O)O[C@@H]2[C@H]3[C@@H](C=O)CC[C@@H](O)[C@]3(C)C[C@H](O)[C@@H]12	C1CC[C@H]2[C@H](C1)CC[C@@H]3[C@@H]2OCC3	C1CC[C@H]2[C@H](C1)CC[C@@H]3[C@@H]2OCC3	C.C.C=O.O.O.O
ZINC000095622350	CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC	None	None	None
ZINC000257393892	C=C(C)[C@@H]1CC=C(C(=O)O[C@@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)CC1	C1CCC(=CC1)CO[C@H]2CCCCO2	C1CCOCC1.C1CCC=CC1	CC=C.CO.O.O.O.O
ZINC000086047368	CCCCCCCCCCCCCCCCCCC[C@@H](C=O)CCCCCCCCC	None	None	None
ZINC000085560388	CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC	None	None	None
ZINC000014437098	COc1c(-c2ccc(O)c(O)c2)oc2c3c(cc(O)c2c1=O)OCO3	c1ccc(cc1)C2=CCc3ccc4c(c3O2)OCO4	c1ccccc1.c1cc2c(c3c1CC=CO3)OCO2	CO.O.O.O.O
ZINC000015263544	C=CC(C)(C)c1cc2cc(CC=C(C)C)c(O)c(OC)c2oc1=O	c1ccc2c(c1)C=CCO2	c1ccc2c(c1)C=CCO2	CC=C(C)C.CC(C)C=C.CO.O.O
ZINC000261498545	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC	None	None	None
ZINC000015207092	C=C(C)[C@H]1CC[C@]2(C)CC[C@@H](O)C(=C)[C@@H]2C1	C1C[C@@H]2[C@@H](CCCC2)CC1	C1C[C@@H]2[C@@H](CCCC2)CC1	C.C.CC=C.O
ZINC000003156382	CC(C)[C@@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	None	None	None
ZINC000257478194	CC/C=C(/CC[C@H](C)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]12C)C(C)C	C1CCC2=CC[C@@H]3[C@H]4CCC[C@@H]4CC[C@H]3[C@H]2C1	C1CCC2=CC[C@@H]3[C@H]4CCC[C@@H]4CC[C@H]3[C@H]2C1	C.C.CCCC/C(=C/CC)/C(C)C.O
ZINC000085588754	Cc1cc(O)c2c(c1)C(=O)c1cccc(O[C@H]3O[C@@H](COC(=O)c4cc(O)c(O)c(O)c4)[C@@H](O)[C@@H](O)[C@@H]3O)c1C2=O	c1ccc(cc1)COC[C@H]2CCC[C@H](O2)Oc3cccc4c3Cc5ccccc5C4	c1ccccc1.c1ccc2c(c1)Cc3ccccc3C2.C1CCOCC1	C.O.O.O.O.O.O.O.O.O.O
ZINC000257198431	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@H]2O[C@@H](CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O	c1ccc(cc1)C2=C(Cc3ccccc3O2)O[C@@H]4CCC[C@@H](O4)CO[C@H]5CCCCO5	c1ccccc1.c1ccc2c(c1)CC=CO2.C1CCOCC1.C1CCOCC1	C.CO.O.O.O.O.O.O.O.O.O.O
ZINC000014689040	Cn1c2ccccc2c(=O)c2c(O)cc3c(c21)C[C@H]([C@@](C)(Cl)CO)O3	c1ccc2c(c1)Cc3ccc4c(c3N2)CCO4	c1ccc2c(c1)Cc3ccc4c(c3N2)CCO4	C.C[C@@H](CO)Cl.O.O
ZINC000031166636	C/C(=C\CC[C@@](C)(O)c1ccc(C)cc1)C(=O)O	c1ccccc1	c1ccccc1	C.C[C@H](CC/C=C(\C)/C(=O)O)O
ZINC000095624795	CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	None	None	None
ZINC000103565487	CC1(C)OC(=O)C=C[C@@]2(C)[C@H]1C[C@@H](O)[C@]1(C)[C@@H]2C(=O)C[C@@]2(C)[C@H](c3ccoc3)OC(=O)[C@H]3O[C@@]321	c1cocc1[C@H]2[C@@H]3CC[C@H]4[C@H]([C@]35[C@H](O5)CO2)CC[C@@H]6[C@@H]4C=CCOC6	c1ccoc1.C1[C@@H]2CC[C@H]3[C@H]([C@]24[C@H](O4)CO1)CC[C@@H]5[C@@H]3C=CCOC5	C.C.C.C.C.O.O.O.O
ZINC000257628776	C/C=C1\[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)O	C1CCO[C@@H](C1)O[C@H]2CCC=CO2	C1CCOCC1.C1CC=COC1	CC.CC(=O)O.CO.COC=O.O.O.O
ZINC000150360726	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCCCCCC	None	None	None
ZINC000150375523	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC	None	None	None
ZINC000257807710	C=C1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]43C)[C@H]2[C@@H]1C	C1CC[C@@H]2[C@H](C1)CC[C@H]3[C@@H]2CC[C@H]4[C@H]3CC[C@@H]5[C@@H]4CCCC5	C1CC[C@@H]2[C@H](C1)CC[C@H]3[C@@H]2CC[C@H]4[C@H]3CC[C@@H]5[C@@H]4CCCC5	C.C.C.C.C.C.C.C.O
ZINC000150372403	CCCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	None	None	None
ZINC000004028006	C[C@]12CCC[C@]3(CO3)[C@@H]1C[C@@H]1[C@@H](CN(CCO)Cc3ccccc3)C(=O)O[C@@H]1C2	c1ccc(cc1)CNC[C@H]2CO[C@H]3[C@@H]2C[C@@H]4[C@@H](C3)CCC[C@]45CO5	c1ccccc1.C1C[C@@H]2C[C@@H]3[C@@H](CCO3)C[C@H]2[C@]4(C1)CO4	C.CCO.O
ZINC000150375862	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC	None	None	None
ZINC000085562782	CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)O/C=C\CCCCCCCC/C=C\CCCCCC	None	None	None
ZINC000085756940	C=C1CCC[C@]2(C)CC[C@@](O)(C(=C)C=O)C[C@H]12	C1C[C@@H]2[C@@H](CCCC2)CC1	C1C[C@@H]2[C@@H](CCCC2)CC1	C.C.C=CC=O.O
ZINC000253390618	CC(=O)/C=C/[C@]1(O)C(C)(C)C[C@H](O)C[C@]1(C)O	C1CCCCC1	C1CCCCC1	C.C.C.CC(=O)C=C.O.O.O
ZINC000072176181	CCCCCCCCCCCCCCCCCCCCCc1cc(O)cc(O)c1	c1ccccc1	c1ccccc1	CCCCCCCCCCCCCCCCCCCCC.O.O
ZINC000000077308	Cc1ccc(NC2=CC(=O)c3ccccc3C2=O)cc1	c1ccc(cc1)NC2=CCc3ccccc3C2	c1ccccc1.c1ccc2c(c1)CC=CC2	C.O.O
ZINC000038497796	CC(C)=CCc1cc([C@H]2Oc3c(ccc4c3C=CC(C)(C)O4)C(=O)[C@@H]2O)ccc1O	c1ccc(cc1)[C@@H]2CCc3ccc4c(c3O2)C=CCO4	c1ccccc1.c1cc2c(c3c1CCCO3)C=CCO2	C.C.CC=C(C)C.O.O.O
ZINC000003860906	CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC	None	None	None
ZINC000014760542	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O	c1ccc2c(c1)CC=C(O2)c3ccc(cc3)O[C@H]4CCCCO4	c1ccccc1.c1ccc2c(c1)CC=CO2.C1CCOCC1	CO.CO.O.O.O.O.O.O.O
ZINC000015107420	C=C1[C@@H](OC(=O)/C=C(\C)CC)C[C@@H](C(C)C)[C@H]2[C@@H]([C@@H](C)OC(C)=O)C(=O)C[C@@H]12	C1CC[C@H]2CCC[C@H]2C1	C1CC[C@H]2CCC[C@H]2C1	C.CCC.CC/C(=C/C(=O)O)/C.CCOC(=O)C.O
ZINC000095621078	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCC	None	None	None
ZINC000057448070	Cc1ccc2c(c1)c(=O)c1c3n2CCN(CC(N)=O)[C@H]3CC1	c1ccc2c(c1)CC3=C4N2CCN[C@H]4CC3	c1ccc2c(c1)CC3=C4N2CCN[C@H]4CC3	C.CC(=O)N.O
ZINC000150360650	CCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	None	None	None
ZINC000409413461	COCCN(C[C@@H]1CCCN2CCCC[C@H]12)C(=O)CCCc1nc(O)c2ccccc2n1	c1ccc2c(c1)cnc(n2)CCCCNC[C@@H]3CCCN4[C@@H]3CCCC4	c1cc2c(ncnc2)cc1.C1C[C@H]2N(CCCC2)CC1	CCOC.O.O
ZINC000118936936	CC1=C(C)C(=O)O[C@H]([C@H](C)[C@H]2C[C@H](O)[C@@]3(O)[C@@H]4C[C@@H]5O[C@@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1	C1C[C@@H]2[C@@H]([C@H]1C[C@@H]3CC=CCO3)CC[C@H]4[C@H]2C[C@H]5[C@@]6([C@@H]4CC=CC6)O5	C1C[C@H]2CC[C@@H]3[C@H]4CC=CC[C@]45[C@@H](O5)C[C@H]3[C@@H]2C1.C1COCC=C1	C.C.C.C.C.O.O.O.O.O
ZINC000095623379	CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCC	None	None	None
ZINC000261495118	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	None	None	None
ZINC000150371244	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	None	None	None
ZINC000257407697	CO[C@@H]1C[C@H]2C(C)(C)[C@@H](OC(C)=O)CC[C@]2(C)C2=C1[C@]1(C)[C@H](O)C[C@H]([C@@H](C)CC/C=C(/C)C(=O)O)[C@@]1(C)CC2	C1CC[C@H]2[C@H](C1)CCC3=C2CC[C@H]4[C@H]3CCC4	C1CC[C@H]2[C@H](C1)CCC3=C2CC[C@H]4[C@H]3CCC4	C.C.C.C.C.CCCC/C=C(/C)\C(=O)O.CC(=O)O.CO.O
ZINC000001841214	CC(C)(C)c1cc(O)cc(C(C)(C)C)c1O	c1ccccc1	c1ccccc1	CC(C)C.CC(C)C.O.O
ZINC000095620001	CCCCCc1cnco1	c1cocn1	c1cocn1	CCCCC
ZINC000001677789	CCCCCOC(=O)CCCCC	None	None	None
ZINC000257636609	C[C@@H]1C(=O)CC[C@@H]2[C@]1(C)[C@@H](O)C[C@@H](C)[C@]2(C)COc1ccc2ccc(=O)oc2c1	c1cc2c(cc1OC[C@H]3CCC[C@H]4[C@H]3CCCC4)OCC=C2	c1cc2c(cc1)OCC=C2.C1C[C@H]2[C@@H](CCCC2)CC1	C.C.C.C.O.O.O
ZINC000095622243	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCCC)COC(=O)CCCCCCCCCCCCCC	None	None	None
ZINC000150362661	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC	None	None	None
ZINC000150373048	CCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC	None	None	None
ZINC000150355129	CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCC	None	None	None
ZINC000604404719	COc1cc(OC)c2c(c1Cl)O[C@@]1(C(=O)C=C(NCc3nc4ccccc4[nH]3)C[C@H]1C)C2=O	c1ccc2c(c1)C[C@]3(O2)CCC(=CC3)NCc4[nH]c5ccccc5n4	c1ccc2c(c1)C[C@]3(O2)CCC=CC3.c1ccc2c(c1)[nH]cn2	C.CO.CO.O.O.Cl
